CIGAF_ID,Site.Name,Site.Description,Niche.Category,Aquatic.Niche,Species,Latitude,Longitude,Citation.Number,Year.Collected,Month.Collected,Letter.Month,Day.Collected,Country,ISO.code,Complete_date,Date,Simp_date,Hemisphere,Year.of.Publication,DOI,Citation,Province,Strain.Number,Full.Month,Host.common.name,Host_family,Host.species,N,Note,name,phylum,class,order,family,genus,min_temp,max_temp,ave_temp,prec_avg,Eco_name,Biome_name,Realm
20,4,"Six Mile Creek, Pickens County, Clemson University",Lotic,creek,Smittium megazygosporum,34.656667,-82.82,2,1997,3,Mar,17,USA,USA,17-3-1997,01-3-1997,1997-Mar,Northern Hemisphere,2000,https://doi.org/10.1080/00275514.2000.12061157,"Beard, C., & Adler, P. 2000",South Carolina,DP-16-10-96 ,March,Blackflies,Chironomidae,"Cricotopus sp., Orthocladius sp.",2,"Unable to discern between insect hosts specific to sites 3, 4, and 5  for this species of fungi collected in this paper. ",2558011,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Smittium,7.261537552,21.04432678,14.15293217,131.8126678,Appalachian Piedmont forests,Temperate Broadleaf & Mixed Forests,Nearctic
21,5,"Six Mile Creek, Pickens County, Clemson University",Lotic,creek,Smittium megazygosporum,34.656667,-82.82,2,1997,4,Apr,4,USA,USA,4-4-1997,01-4-1997,1997-Apr,Northern Hemisphere,2000,https://doi.org/10.1080/00275514.2000.12061157,"Beard, C., & Adler, P. 2000",South Carolina,DP-16-10-96 ,April,Blackflies,Chironomidae,"Cricotopus sp., Orthocladius sp.",2,"Unable to discern between insect hosts specific to sites 3, 4, and 5  for this species of fungi collected in this paper. ",2558011,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Smittium,6.555173874,20.50468063,13.52992725,144.7268982,Appalachian Piedmont forests,Temperate Broadleaf & Mixed Forests,Nearctic
23,BC,"Brasstown Creek, Oconee County, South Carolina",Lotic,creek,Genistellospora homothallica,34.718333,-83.305,3,1995,10,Oct,NA,USA,USA,NA,NA,1995-Oct,Northern Hemisphere,2002,https://doi.org/10.1080/15572536.2003.11833225,"Beard, C., & Adler, P. 2002",South Carolina,NA,October,Blackflies,Simuliidae,Simulium pictipes,NA,NA,2558100,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Genistellospora,8.403910637,22.17944908,15.29167986,265.512146,Appalachian-Blue Ridge forests,Temperate Broadleaf & Mixed Forests,Nearctic
24,BC,"Brasstown Creek, Oconee County, South Carolina",Lotic,creek,Genistellospora homothallica,34.718333,-83.305,3,1996,8,Aug,NA,USA,USA,NA,NA,1996-Aug,Northern Hemisphere,2002,https://doi.org/10.1080/15572536.2003.11833225,"Beard, C., & Adler, P. 2002",South Carolina,NA,August,Blackflies,Simuliidae,Simulium pictipes,NA,NA,2558100,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Genistellospora,17.88929176,29.19827461,23.54378319,152.6085052,Appalachian-Blue Ridge forests,Temperate Broadleaf & Mixed Forests,Nearctic
25,6MC,"Six Mile Creek, Pickens County, Clemson University",Lotic,creek,Genistellospora homothallica,34.801667,-82.845,3,1995,11,Nov,NA,USA,USA,NA,NA,1995-Nov,Northern Hemisphere,2002,https://doi.org/10.1080/15572536.2003.11833225,"Beard, C., & Adler, P. 2002",South Carolina,NA,November,Blackflies,Simuliidae,Simulium pictipes,NA,NA,2558100,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Genistellospora,2.278895617,15.4152317,8.847063661,154.3531952,Appalachian Piedmont forests,Temperate Broadleaf & Mixed Forests,Nearctic
26,6MC,"Six Mile Creek, Pickens County, Clemson University",Lotic,creek,Genistellospora homothallica,34.801667,-82.845,3,1997,1,Jan,NA,USA,USA,NA,NA,1997-Jan,Northern Hemisphere,2002,https://doi.org/10.1080/15572536.2003.11833225,"Beard, C., & Adler, P. 2002",South Carolina,NA,January,Blackflies,Simuliidae,Simulium pictipes,NA,NA,2558100,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Genistellospora,0.517781198,11.66654873,6.092164963,144.5662384,Appalachian Piedmont forests,Temperate Broadleaf & Mixed Forests,Nearctic
27,WPO,"Willard's Pond outflow, Pickens County, South Carolina.",NA,outflow,Genistellospora homothallica,34.656667,-82.82,3,1996,4,Apr,NA,USA,USA,NA,NA,1996-Apr,Northern Hemisphere,2002,https://doi.org/10.1080/15572536.2003.11833225,"Beard, C., & Adler, P. 2002",South Carolina,NA,April,Blackflies,Simuliidae,Simulium pictipes,NA,NA,2558100,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Genistellospora,7.492153168,22.37968063,14.9359169,110.319397,Appalachian Piedmont forests,Temperate Broadleaf & Mixed Forests,Nearctic
28,WPO,"Willard's Pond outflow, Pickens County, South Carolina.",NA,outflow,Genistellospora homothallica,34.656667,-82.82,3,1996,5,May,NA,USA,USA,NA,NA,1996-May,Northern Hemisphere,2002,https://doi.org/10.1080/15572536.2003.11833225,"Beard, C., & Adler, P. 2002",South Carolina,NA,May,Blackflies,Simuliidae,Simulium pictipes,NA,NA,2558100,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Genistellospora,14.53956985,27.96718025,21.25337505,104.6250381,Appalachian Piedmont forests,Temperate Broadleaf & Mixed Forests,Nearctic
29,WPO,"Willard's Pond outflow, Pickens County, South Carolina.",NA,outflow,Genistellospora homothallica,34.656667,-82.82,3,1996,10,Oct,NA,USA,USA,NA,NA,1996-Oct,Northern Hemisphere,2002,https://doi.org/10.1080/15572536.2003.11833225,"Beard, C., & Adler, P. 2002",South Carolina,NA,October,Blackflies,Simuliidae,Simulium pictipes,NA,NA,2558100,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Genistellospora,9.145534515,22.60147667,15.87350559,49.41366577,Appalachian Piedmont forests,Temperate Broadleaf & Mixed Forests,Nearctic
30,WPO,"Willard's Pond outflow, Pickens County, South Carolina.",NA,outflow,Genistellospora homothallica,34.656667,-82.82,3,1996,11,Nov,NA,USA,USA,NA,NA,1996-Nov,Northern Hemisphere,2002,https://doi.org/10.1080/15572536.2003.11833225,"Beard, C., & Adler, P. 2002",South Carolina,NA,November,Blackflies,Simuliidae,Simulium pictipes,NA,NA,2558100,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Genistellospora,2.886798859,15.07492352,8.980861187,102.5573654,Appalachian Piedmont forests,Temperate Broadleaf & Mixed Forests,Nearctic
31,WPO,"Willard's Pond outflow, Pickens County, South Carolina.",NA,outflow,Genistellospora homothallica,34.656667,-82.82,3,1997,4,Apr,NA,USA,USA,NA,NA,1997-Apr,Northern Hemisphere,2002,https://doi.org/10.1080/15572536.2003.11833225,"Beard, C., & Adler, P. 2002",South Carolina,NA,April,Blackflies,Simuliidae,Simulium pictipes,NA,NA,2558100,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Genistellospora,6.555173874,20.50468063,13.52992725,144.7268982,Appalachian Piedmont forests,Temperate Broadleaf & Mixed Forests,Nearctic
32,WPO,"Willard's Pond outflow, Pickens County, South Carolina.",NA,outflow,Genistellospora homothallica,34.656667,-82.82,3,1997,6,Jun,NA,USA,USA,NA,NA,1997-Jun,Northern Hemisphere,2002,https://doi.org/10.1080/15572536.2003.11833225,"Beard, C., & Adler, P. 2002",South Carolina,NA,June,Blackflies,Simuliidae,Simulium pictipes,NA,NA,2558100,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Genistellospora,16.6041851,26.82891846,21.71655178,104.4466934,Appalachian Piedmont forests,Temperate Broadleaf & Mixed Forests,Nearctic
33,BC,"Brasstown Creek, Oconee County, South Carolina",Lotic,creek,Harpella melusinae,34.718333,-83.305,3,1995,8,Aug,NA,USA,USA,NA,NA,1995-Aug,Northern Hemisphere,2002,https://doi.org/10.1080/15572536.2003.11833225,"Beard, C., & Adler, P. 2002",South Carolina,NA,August,Blackflies,Simuliidae,Simulium pictipes,NA,NA,5250266,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,19.60908127,30.41806602,25.01357365,283.0349121,Appalachian-Blue Ridge forests,Temperate Broadleaf & Mixed Forests,Nearctic
34,BC,"Brasstown Creek, Oconee County, South Carolina",Lotic,creek,Harpella melusinae,34.718333,-83.305,3,1995,9,Sep,NA,USA,USA,NA,NA,1995-Sep,Northern Hemisphere,2002,https://doi.org/10.1080/15572536.2003.11833225,"Beard, C., & Adler, P. 2002",South Carolina,NA,September,Blackflies,Simuliidae,Simulium pictipes,NA,NA,5250266,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,14.75389481,26.23110199,20.4924984,65.23551178,Appalachian-Blue Ridge forests,Temperate Broadleaf & Mixed Forests,Nearctic
35,BC,"Brasstown Creek, Oconee County, South Carolina",Lotic,creek,Harpella melusinae,34.718333,-83.305,3,1995,10,Oct,NA,USA,USA,NA,NA,1995-Oct,Northern Hemisphere,2002,https://doi.org/10.1080/15572536.2003.11833225,"Beard, C., & Adler, P. 2002",South Carolina,NA,October,Blackflies,Simuliidae,Simulium pictipes,NA,NA,5250266,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,8.403910637,22.17944908,15.29167986,265.512146,Appalachian-Blue Ridge forests,Temperate Broadleaf & Mixed Forests,Nearctic
36,BC,"Brasstown Creek, Oconee County, South Carolina",Lotic,creek,Harpella melusinae,34.718333,-83.305,3,1995,11,Nov,NA,USA,USA,NA,NA,1995-Nov,Northern Hemisphere,2002,https://doi.org/10.1080/15572536.2003.11833225,"Beard, C., & Adler, P. 2002",South Carolina,NA,November,Blackflies,Simuliidae,Simulium pictipes,NA,NA,5250266,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,1.24336791,14.65211391,7.947740912,187.9524231,Appalachian-Blue Ridge forests,Temperate Broadleaf & Mixed Forests,Nearctic
37,BC,"Brasstown Creek, Oconee County, South Carolina",Lotic,creek,Harpella melusinae,34.718333,-83.305,3,1995,11,Nov,NA,USA,USA,NA,NA,1995-Nov,Northern Hemisphere,2002,https://doi.org/10.1080/15572536.2003.11833225,"Beard, C., & Adler, P. 2002",South Carolina,NA,November,Blackflies,Simuliidae,Simulium pictipes,NA,NA,5250266,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,1.24336791,14.65211391,7.947740912,187.9524231,Appalachian-Blue Ridge forests,Temperate Broadleaf & Mixed Forests,Nearctic
38,BC,"Brasstown Creek, Oconee County, South Carolina",Lotic,creek,Harpella melusinae,34.718333,-83.305,3,1995,12,Dec,NA,USA,USA,NA,NA,1995-Dec,Northern Hemisphere,2002,https://doi.org/10.1080/15572536.2003.11833225,"Beard, C., & Adler, P. 2002",South Carolina,NA,December,Blackflies,Simuliidae,Simulium pictipes,NA,NA,5250266,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,-1.589031219,11.43792725,4.924448013,85.36846924,Appalachian-Blue Ridge forests,Temperate Broadleaf & Mixed Forests,Nearctic
39,BC,"Brasstown Creek, Oconee County, South Carolina",Lotic,creek,Harpella melusinae,34.718333,-83.305,3,1996,1,Jan,NA,USA,USA,NA,NA,1996-Jan,Northern Hemisphere,2002,https://doi.org/10.1080/15572536.2003.11833225,"Beard, C., & Adler, P. 2002",South Carolina,NA,January,Blackflies,Simuliidae,Simulium pictipes,NA,NA,5250266,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,-2.365142345,9.146256447,3.390557051,245.2328644,Appalachian-Blue Ridge forests,Temperate Broadleaf & Mixed Forests,Nearctic
40,BC,"Brasstown Creek, Oconee County, South Carolina",Lotic,creek,Harpella melusinae,34.718333,-83.305,3,1996,1,Jan,NA,USA,USA,NA,NA,1996-Jan,Northern Hemisphere,2002,https://doi.org/10.1080/15572536.2003.11833225,"Beard, C., & Adler, P. 2002",South Carolina,NA,January,Blackflies,Simuliidae,Simulium pictipes,NA,NA,5250266,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,-2.365142345,9.146256447,3.390557051,245.2328644,Appalachian-Blue Ridge forests,Temperate Broadleaf & Mixed Forests,Nearctic
41,BC,"Brasstown Creek, Oconee County, South Carolina",Lotic,creek,Harpella melusinae,34.718333,-83.305,3,1996,5,May,NA,USA,USA,NA,NA,1996-May,Northern Hemisphere,2002,https://doi.org/10.1080/15572536.2003.11833225,"Beard, C., & Adler, P. 2002",South Carolina,NA,May,Blackflies,Simuliidae,Simulium pictipes,NA,NA,5250266,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,12.70604897,27.03889465,19.87247181,118.5380936,Appalachian-Blue Ridge forests,Temperate Broadleaf & Mixed Forests,Nearctic
42,BC,"Brasstown Creek, Oconee County, South Carolina",Lotic,creek,Harpella melusinae,34.718333,-83.305,3,1996,6,Jun,NA,USA,USA,NA,NA,1996-Jun,Northern Hemisphere,2002,https://doi.org/10.1080/15572536.2003.11833225,"Beard, C., & Adler, P. 2002",South Carolina,NA,June,Blackflies,Simuliidae,Simulium pictipes,NA,NA,5250266,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,15.728302,29.01449966,22.37140083,94.40825653,Appalachian-Blue Ridge forests,Temperate Broadleaf & Mixed Forests,Nearctic
43,BC,"Brasstown Creek, Oconee County, South Carolina",Lotic,creek,Harpella melusinae,34.718333,-83.305,3,1996,7,Jul,NA,USA,USA,NA,NA,1996-Jul,Northern Hemisphere,2002,https://doi.org/10.1080/15572536.2003.11833225,"Beard, C., & Adler, P. 2002",South Carolina,NA,July,Blackflies,Simuliidae,Simulium pictipes,NA,NA,5250266,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,18.03607178,30.65287209,24.34447193,89.39506531,Appalachian-Blue Ridge forests,Temperate Broadleaf & Mixed Forests,Nearctic
